Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
Eaglecrest Ski Area,Alaska,2600,1540,0,0,0,0,0,0,4,0,4,36,1,2.0,640,60,45,44,350.0,47.0,53.0,90,0,2
Hilltop Ski Area,Alaska,2090,294,0,0,0,0,0,1,0,2,3,13,1,1.0,30,30,150,36,69.0,30.0,34.0,152,30,0
Sunrise Park Resort,Arizona,11100,1800,0,0,0,1,2,3,1,0,7,65,2,1.2,800,80,115,49,250.0,74.0,78.0,104,80,1
Yosemite Ski & Snowboard Area,California,7800,600,0,0,0,0,0,1,3,1,5,10,2,0.4,88,0,110,84,300.0,47.0,47.0,107,0,1
Boreal Mountain Resort,California,7700,500,0,0,0,1,1,3,1,2,8,33,6,1.0,380,200,150,54,400.0,49.0,64.16681004,150,200,1
Dodge Ridge,California,8200,1600,0,0,0,0,1,2,5,4,12,67,5,2.0,862,0,0,69,350.0,78.0,78.0,140,0,1
Donner Ski Ranch,California,8012,750,0,0,0,0,0,1,5,2,8,52,2,1.5,505,60,163,82,400.0,75.0,75.0,170,0,1
June Mountain,California,10090,2590,0,0,0,2,0,0,4,1,7,41,2,2.0,1500,0,0,58,250.0,57.91695652,64.16681004,128,0,1
Mt. Shasta Ski Park,California,6890,1435,0,0,0,0,0,3,0,1,4,32,2,1.1,425,225,140,34,300.0,49.0,59.0,130,0,1
Mountain High,California,8200,1600,0,0,0,2,2,2,5,3,14,59,1,1.6,290,275,118,95,108.0,84.0,84.0,150,73,1
Mt. Baldy,California,8600,2100,0,0,0,0,0,0,4,0,4,26,0,2.5,400,80,175,67,178.0,69.0,69.0,200,0,1
Ski China Peak,California,8709,1679,0,0,0,0,1,4,2,4,11,45,1,2.2,1400,150,140,62,300.0,83.0,83.0,144,0,1
Snow Summit,California,8200,1200,0,0,0,2,0,4,5,5,16,27,6,1.2,240,240,0,67,100.0,57.91695652,64.16681004,130,150,1
Snow Valley,California,7841,1041,0,0,0,0,0,5,6,1,12,28,6,1.2,240,188,111,82,160.0,69.0,79.0,143,164,1
Soda Springs,California,7352,652,0,0,0,0,0,1,1,2,4,18,0,0.4,200,20,150,83,400.0,50.0,50.0,144,0,1
Tahoe Donner,California,7350,600,0,0,0,0,1,1,0,3,5,14,2,1.0,120,0,150,48,400.0,69.0,69.0,144,0,1
Monarch Mountain,Colorado,11952,1162,0,0,0,0,1,0,4,2,7,64,2,1.0,800,0,143,80,350.0,89.0,89.0,136,0,1
Cooper,Colorado,11700,1200,0,0,0,0,0,1,1,2,4,41,1,1.0,400,0,130,74,260.0,56.0,56.0,130,0,1
Ski Granby Ranch,Colorado,9202,1000,0,0,0,2,0,1,1,1,5,40,1,0.6,406,170,116,36,220.0,84.0,84.0,92,100,1
Sunlight Mountain Resort,Colorado,9895,2010,0,0,0,0,0,1,2,0,3,67,1,2.5,680,30,100,53,250.0,65.0,65.0,135,0,1
Mohawk Mountain,Connecticut,1600,650,0,0,0,0,0,5,0,3,8,25,0,1.5,107,100,0,72,92.0,30.0,65.0,110,64,0
Mount Southington Ski Area,Connecticut,525,425,0,0,0,0,0,2,2,3,7,14,2,0.3,51,51,63,55,80.0,60.0,60.0,95,51,0
Powder Ridge Park,Connecticut,720,550,0,0,0,0,0,1,2,2,5,19,4,0.5,80,68,80,60,80.0,45.0,55.0,100,40,0
Ski Sundown,Connecticut,1075,625,0,0,0,0,0,3,0,2,5,16,2,1.0,70,70,84,50,45.0,62.0,62.0,95,66,0
Woodbury Ski Area,Connecticut,730,300,0,0,0,0,0,0,1,4,5,12,2,0.2,50,50,126,57,70.0,42.0,42.0,180,35,0
Lookout Pass Ski Area,Idaho,5650,1150,0,0,0,0,0,1,3,0,4,35,2,1.5,540,0,113,84,400.0,44.0,47.0,140,0,2
Magic Mountain Ski Area,Idaho,7200,700,0,0,0,0,0,0,1,2,3,11,0,1.5,280,0,65,81,180.0,32.0,32.0,70,0,1
Pebble Creek Ski Area,Idaho,8560,2200,0,0,0,0,0,3,0,0,3,54,2,1.3,1100,30,85,70,250.0,47.0,47.0,91,30,1
Pomerelle Mountain Resort,Idaho,9000,1000,0,0,0,0,0,1,1,1,3,24,2,1.5,500,50,138,56,500.0,57.91695652,64.16681004,138,100,1
Soldier Mountain Ski Area,Idaho,7200,1400,0,0,0,0,0,0,2,1,3,36,0,0.4,1142,0,60,71,292.7272727,43.0,43.0,60,0,1
